Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Current Quantity Romolos Cannoli,New Quantity Romolos Cannoli,Stock Alert Enabled Romolos Cannoli,Stock Alert Count Romolos Cannoli,Modifier Set - Cannoli Filling,Modifier Set - Cannoli Flavors,Modifier Set - Cannoli Kit,Modifier Set - Cannoli Multiple Boxes,Modifier Set - Cannoli Special Notes,Modifier Set - Cannoli Toppings,Modifier Set - Cookie Flavors,Modifier Set - Quantity
3H4RSRBKLMN22SUTP7OUHAVP,Cannoli Online,,Mini Size - Set of 24,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,78.00,78.00,N,,,,N,Cannoli Sizes,Mini Size - Set of 24,,,,,Y,Y,N,Y,Y,Y,N,N
PJYYEOB7FMWVHGLTBMHGM3XX,Chocolate Banana,,Regular,,,Chocolate Banana,Chocolate Banana,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,3.50,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
W7EA5NKIGO4PCUZQUCKFBHBE,Cookies,,Regular,,,Cookie,Cookie,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,15.00,,N,,N,,N,,,,,,,N,N,N,N,N,N,Y,N
XHEJANLFJ4LOUE5WQXFPXWOU,Full Size - Set of 12,,Regular,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,72.00,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
2CQBCQAUMLDATCG7QDMMUCOT,Full Size - Set of 6,,Regular,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,39.00,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
B5HJSZRGSHLTT6QKYOJFDUC5,Ice Cream,,Small,,,Ice Cream,Ice Cream,,,,,visible,Prepared food and beverage,,,,Y,,,,5.00,5.00,N,,N,,N,Ice Cream Size,Small,,,,,N,N,N,N,N,N,N,N
CS3LY3RB74WGHFXPWKSHF2LD,Ice Cream,,Medium,,,Ice Cream,Ice Cream,,,,,visible,Prepared food and beverage,,,,,,,,8.00,8.00,N,,,,N,Ice Cream Size,Medium,,,,,N,N,N,N,N,N,N,N
7XZSV3Z2AB5YDPDSOYNB3ZWB,Ice Cream,,Pint,,,Ice Cream,Ice Cream,,,,,visible,Prepared food and beverage,,,,,,,,12.00,12.00,N,,,,N,Ice Cream Size,Pint,,,,,N,N,N,N,N,N,N,N
QDW4SHBKHDCNL66WJJEWYONX,Ice Cream,,Quart,,,Ice Cream,Ice Cream,,,,,visible,Prepared food and beverage,,,,,,,,20.00,20.00,N,,,,N,Ice Cream Size,Quart,,,,,N,N,N,N,N,N,N,N
NFIWHBOPBBU2FD7AZY7MVJ6P,Ice Cream,,Half Gallon,,,Ice Cream,Ice Cream,,,,,visible,Prepared food and beverage,,,,,,,,32.00,28.00,N,,,,N,Ice Cream Size,Half Gallon,,,,,N,N,N,N,N,N,N,N
MF4KWYXBWOYRYZKD3L3YD4W4,Milkshake,,Regular,,,Milkshake,Milkshake,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,10.00,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
YRADBDJOGQ3AHPKGCH27PEJI,Mini Size - Set of 12,,Regular,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,48.00,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
ZUC5UG536JBGPXLWH77UQ4CN,Mini Size - Set of 24,,Regular,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,84.00,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
SIVRUQ4VVMMCNKJ73I6QBR44,Spumoni Wedge,,Regular,,,Spumoni Wedge,Spumoni Wedge,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,6.50,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
YVFCC7UST3UDEOOK4UJZS4PV,Tartufi,,Regular,,,Tartufi,Tartufi,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,6.50,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
LYSJTNLUZKACBWQSXBLPOTZU,Tiramisu,,Small,,,Tiramisu,Tiramisu,,,,,visible,Prepared food and beverage,,,,Y,,,,20.00,20.00,N,,N,,N,Tiramisu Size,Small,,,,,N,N,N,N,N,N,N,N
ZZTHVOI6WTTK3UNSOETI7YSX,Tiramisu,,Large,,,Tiramisu,Tiramisu,,,,,visible,Prepared food and beverage,,,,,,,,40.00,40.00,N,,,,N,Tiramisu Size,Large,,,,,N,N,N,N,N,N,N,N
